20250319 105000,19761.25,19761.25,19756.25,19756.75,41
20250319 105100,19758.5,19761,19755.25,19757.25,72
20250319 105200,19758.75,19760.75,19756.25,19757.25,35
20250319 105300,19758,19758.75,19751.5,19753,99
20250319 105400,19755,19755.5,19753,19754.5,67
20250319 105500,19755.5,19755.5,19751,19753.25,58
20250319 105600,19753.5,19760,19753.25,19758.5,64
20250319 105700,19757.75,19758.25,19751.5,19751.75,84
20250319 105800,19751.75,19756.75,19748.5,19755.5,240
20250319 105900,19756.25,19759,19755.75,19758,58
20250319 110000,19758,19763,19755.25,19762,101
20250319 110100,19761.25,19762.5,19754.5,19756.25,136
20250319 110200,19754.25,19757.5,19752.75,19756.5,69
20250319 110300,19756.75,19759.5,19754.75,19755,67
20250319 110400,19756.25,19762,19753.5,19759.5,149
20250319 110500,19761.5,19762.25,19759.75,19760.5,50
20250319 110600,19760.75,19764,19760,19762.75,58
20250319 110700,19763,19764.5,19761.5,19762.5,79
20250319 110800,19761.75,19763,19760.25,19761.25,48
20250319 110900,19762,19763.75,19758.5,19763.5,38
20250319 111000,19764.25,19770.25,19761,19768,119
20250319 111100,19768.5,19775.25,19768.5,19771.25,131
20250319 111200,19771,19773.25,19768,19773.25,90
20250319 111300,19772.5,19776.75,19772.5,19775,91
20250319 111400,19775,19776.5,19774,19776.5,55
20250319 111500,19775.75,19776.5,19770.25,19771,74
20250319 111600,19770,19772.75,19767,19768,101
20250319 111700,19767.75,19768.75,19764,19768.5,90
20250319 111800,19768,19770.5,19764,19768.5,81
20250319 111900,19769,19774.25,19768.25,19770.25,95
20250319 112000,19770.25,19770.75,19767.5,19769,79
20250319 112100,19770,19770,19764.25,19764.5,57
20250319 112200,19763.75,19769,19762.5,19768.5,41
20250319 112300,19768.5,19772.25,19768.25,19772,69
20250319 112400,19770.75,19775.5,19770,19773,124
20250319 112500,19772.75,19779.75,19772.25,19775.5,125
20250319 112600,19775.75,19778.75,19774.75,19776,58
20250319 112700,19776.25,19777.5,19773.5,19774,37
20250319 112800,19773.5,19773.5,19768.75,19771,146
20250319 112900,19770.25,19773.5,19768.25,19772,57
20250319 113000,19771.5,19771.5,19768.25,19770.25,46
20250319 113100,19770.75,19770.75,19767.25,19767.25,48
20250319 113200,19766.75,19771.75,19766.25,19768.5,83
20250319 113300,19768.75,19769,19766.25,19766.5,137
20250319 113400,19767,19771.5,19767,19769.75,69
20250319 113500,19770.75,19771.5,19767,19767.5,138
20250319 113600,19767.5,19775.25,19767.5,19771.5,71
20250319 113700,19772,19777.25,19770,19774.5,95
20250319 113800,19775.75,19776.25,19772.25,19773.25,92
20250319 113900,19773,19780.5,19772.5,19779.25,152
20250319 114000,19778.25,19780.25,19776.75,19778,90
20250319 114100,19778.25,19779.75,19777.25,19779.25,53
20250319 114200,19779.5,19780.5,19776,19777.25,113
20250319 114300,19777,19784.5,19775.75,19782.5,268
20250319 114400,19782.75,19789.75,19782.75,19787.25,231
20250319 114500,19786.75,19788.75,19777.75,19778.5,167
20250319 114600,19778.5,19783.25,19778.25,19779.75,156
20250319 114700,19779.75,19785.5,19773.25,19784.5,191
20250319 114800,19784.5,19789.5,19783,19786.5,216
20250319 114900,19786,19788,19780.75,19781.5,142
20250319 115000,19780.75,19783.5,19776,19782,126
20250319 115100,19783,19784.25,19780.25,19783.75,80
20250319 115200,19783.75,19786,19782.5,19782.5,77
20250319 115300,19785,19785.75,19780.25,19781,87
20250319 115400,19781,19783,19777.25,19778.75,100
20250319 115500,19778,19780.5,19776.25,19779.25,70
20250319 115600,19780,19780.5,19748,19756.25,1655
20250319 115700,19756,19779.5,19748.25,19774.25,949
20250319 115800,19775,19783.25,19773.25,19781,651
20250319 115900,19781.75,19782.25,19773,19773.25,229
20250319 120000,19772.5,19783.75,19771.5,19776.75,210
20250319 120100,19776.5,19779.75,19767.75,19769.5,194
20250319 120200,19768,19773.25,19761.25,19773.25,174
20250319 120300,19773.5,19773.5,19765,19765,85
20250319 120400,19764.25,19767.25,19761,19767,103
20250319 120500,19766,19771,19765.25,19770,65
20250319 120600,19769.5,19777.75,19767,19772.25,168
20250319 120700,19772,19772,19763.5,19764,99
20250319 120800,19763.5,19770.5,19761.75,19765.75,153
20250319 120900,19766,19770.25,19765.5,19766.25,52
20250319 121000,19766.5,19773,19766.5,19770.25,152
20250319 121100,19770.25,19778.5,19770,19772.25,190
20250319 121200,19772.5,19772.5,19765,19769.75,73
20250319 121300,19770,19773.75,19770,19772.5,179
20250319 121400,19772.75,19773.25,19765.75,19769.25,109
20250319 121500,19769,19777.75,19768.75,19777.5,105
20250319 121600,19777,19782.75,19776,19780,96
20250319 121700,19780,19780.25,19776.5,19776.5,118
20250319 121800,19775.75,19776.25,19767,19767.5,148
20250319 121900,19767.75,19769.25,19761.5,19764.25,171
20250319 122000,19763.5,19765.75,19758.25,19761,164
20250319 122100,19761.5,19767.25,19760.75,19763,138
20250319 122200,19763.5,19765.5,19759.25,19761,95
20250319 122300,19761.75,19762,19756.25,19758.5,137
20250319 122400,19758.75,19759.5,19752.75,19756,176
20250319 122500,19756.75,19759.25,19754.5,19755.5,77
20250319 122600,19755.25,19769.75,19754.5,19759,660
20250319 122700,19759,19759.25,19755.75,19757.25,74
20250319 122800,19756.75,19757.25,19749,19752.5,209
20250319 122900,19752.75,19755.25,19749.75,19755,104
20250319 123000,19755.25,19758.25,19744,19748,250
20250319 123100,19747,19753,19745.5,19749.25,144
20250319 123200,19749.5,19751.25,19744,19745,219
20250319 123300,19745.75,19759,19745.25,19757.25,188
